anatomy,n_samples,run,auc,accuracy,sensitivity,specificity
XR_SHOULDER,50,0,0.6307648617947748,0.5950266429840142,0.5863309352517986,0.6035087719298246
XR_SHOULDER,50,1,0.6474567714249653,0.6074600355239786,0.5287769784172662,0.6842105263157895
XR_SHOULDER,50,2,0.6244982960999621,0.5896980461811723,0.6546762589928058,0.5263157894736842
XR_SHOULDER,75,0,0.6713744793638773,0.6181172291296625,0.5215827338129496,0.712280701754386
XR_SHOULDER,75,1,0.6881736715890445,0.6181172291296625,0.6726618705035972,0.5649122807017544
XR_SHOULDER,75,2,0.6780386217341916,0.6216696269982238,0.5971223021582733,0.6456140350877193
XR_SHOULDER,100,0,0.6854852959737474,0.6269982238010657,0.4568345323741007,0.7929824561403509
XR_SHOULDER,100,1,0.6685977533762464,0.6198934280639432,0.5755395683453237,0.6631578947368421
XR_SHOULDER,100,2,0.617190458159788,0.5595026642984015,0.7050359712230215,0.41754385964912283
XR_SHOULDER,150,0,0.7143127603180612,0.6625222024866785,0.5,0.8210526315789474
XR_SHOULDER,150,1,0.6880726997349488,0.6252220248667851,0.5611510791366906,0.6877192982456141
XR_SHOULDER,150,2,0.7043291682443519,0.6287744227353463,0.6654676258992805,0.5929824561403508
XR_SHOULDER,200,0,0.7027136185788211,0.6731793960923623,0.697841726618705,0.6491228070175439
XR_SHOULDER,200,1,0.7066262779250283,0.6394316163410302,0.6618705035971223,0.6175438596491228
XR_SHOULDER,200,2,0.7509781648365519,0.6625222024866785,0.7194244604316546,0.6070175438596491
XR_SHOULDER,500,0,0.7503723337119779,0.69449378330373,0.7230215827338129,0.6666666666666666
XR_SHOULDER,500,1,0.73067020068156,0.6625222024866785,0.6906474820143885,0.6350877192982456
XR_SHOULDER,500,2,0.7717152593714502,0.6802841918294849,0.7338129496402878,0.6280701754385964
