arch,target,n_samples,dist_ratio,inter_dist,intra_dist,zero_shot_auc,best_method,best_auc,improvement_over_zs,auc_vanilla_ft,auc_ft_source_reg,auc_mkmmd,auc_coral,auc_cc_dann
densenet121,XR_HAND,200,0.3659878542692738,8.389677047729492,22.923375588024154,0.7069056404849762,vanilla_ft,0.7467508802072148,0.039845239722238635,0.7467508802072148,0.7465361161548123,0.7346329812504475,0.7285903017760337,0.7106217093916971
densenet121,XR_HAND,500,0.3659878542692738,8.389677047729492,22.923375588024154,0.7069056404849762,vanilla_ft,0.7884639163851954,0.08155827590021925,0.7884639163851954,0.7869573140175845,0.7322575606708449,0.7334192389542943,0.7423124231242313
resnet50,XR_ELBOW,50,0.29739925614085017,4.904397487640381,16.490954107644555,0.74368177613321,cc_dann,0.8189115016959606,0.07522972556275065,0.8162873882207832,0.8184798026518655,0.787277212457601,0.7984551341350601,0.8189115016959606
resnet50,XR_ELBOW,100,0.29739925614085017,4.904397487640381,16.490954107644555,0.74368177613321,ft_source_reg,0.8414770274437249,0.09779525131051492,0.8338328707986432,0.8414770274437249,0.7930897317298798,0.7941227258711069,0.8026395312981807
resnet50,XR_ELBOW,200,0.29739925614085017,4.904397487640381,16.490954107644555,0.74368177613321,ft_source_reg,0.8444557508479803,0.10077397471477034,0.8355195806352143,0.8444557508479803,0.7928029602220166,0.7665618254702435,0.8216651248843664
resnet50,XR_ELBOW,500,0.29739925614085017,4.904397487640381,16.490954107644555,0.74368177613321,ft_source_reg,0.8679648473635524,0.12428307123034243,0.8609959913660191,0.8679648473635524,0.8001788467468395,0.7774067221708295,0.8241073080481036
resnet50,XR_SHOULDER,50,0.36148586115075737,6.568038463592529,18.16955838623651,0.5427615802095166,ft_source_reg,0.6692982456140353,0.1265366654045187,0.6517270394210947,0.6692982456140353,0.5972422062350119,0.5868610374858009,0.6090285666203878
resnet50,XR_SHOULDER,100,0.36148586115075737,6.568038463592529,18.16955838623651,0.5427615802095166,ft_source_reg,0.7227565316168119,0.17999495140729527,0.7046888804745676,0.7227565316168119,0.5957697000294501,0.5674218519920905,0.6171231435903909
resnet50,XR_SHOULDER,200,0.36148586115075737,6.568038463592529,18.16955838623651,0.5427615802095166,ft_source_reg,0.7453531911313055,0.2025916109217889,0.7229984433505828,0.7453531911313055,0.6070533047246413,0.5971391308006228,0.6034225251377845
resnet50,XR_SHOULDER,500,0.36148586115075737,6.568038463592529,18.16955838623651,0.5427615802095166,vanilla_ft,0.7807585510538937,0.2379969708443771,0.7807585510538937,0.7682485590474988,0.615242542807859,0.6164542050570071,0.618860700912954
resnet50,XR_HAND,50,0.37218596440440244,6.0179853439331055,16.169296845574603,0.6559089400417812,ft_source_reg,0.6848662931073756,0.028957353065594327,0.673981660451525,0.6848662931073756,0.6417637985903668,0.6343251527753373,0.6548774217900909
resnet50,XR_HAND,100,0.37218596440440244,6.0179853439331055,16.169296845574603,0.6559089400417812,vanilla_ft,0.6748146846547831,0.018905744613001874,0.6748146846547831,0.6545975777218089,0.6435567530278478,0.6652381603181111,0.6529477993192631
resnet50,XR_HAND,200,0.37218596440440244,6.0179853439331055,16.169296845574603,0.6559089400417812,vanilla_ft,0.7093168550733125,0.053407915031531306,0.7093168550733125,0.6920836668684146,0.675234450757206,0.6792238557306208,0.670590991624202
